"model","year","scenario","variable_rename","diff"
"USREP-ReEDS",2025,"IRA","CO2",0.134262229737999
"USREP-ReEDS",2030,"IRA","CO2",-0.294342427218005
"USREP-ReEDS",2035,"IRA","CO2",-0.863668087534002
"EPS-EI",2025,"IRA","CO2",-0.0463381694720013
"EPS-EI",2030,"IRA","CO2",-0.232884791020002
"EPS-EI",2035,"IRA","CO2",-0.462463646162
"GCAM-CGS",2025,"IRA","CO2",-1.96237213088
"GCAM-CGS",2030,"IRA","CO2",-3.549954826306
"GCAM-CGS",2035,"IRA","CO2",-1.145543286244
"GCAM-PNNL",2025,"IRA","CO2",-0.939944180103197
"GCAM-PNNL",2030,"IRA","CO2",-1.81098574667676
"GCAM-PNNL",2035,"IRA","CO2",-2.24449392758494
"MARKAL-NETL",2025,"IRA","CO2",-0.0320484163439971
"MARKAL-NETL",2030,"IRA","CO2",-0.0314094380180023
"MARKAL-NETL",2035,"IRA","CO2",-0.0305994481379983
"NEMS-RHG",2025,"IRA","CO2",0.0211406221319947
"NEMS-RHG",2030,"IRA","CO2",-0.373486248366
"NEMS-RHG",2035,"IRA","CO2",-0.75876728957401
"OP-NEMS",2022,"IRA","CO2",-0.00904795789061552
"OP-NEMS",2023,"IRA","CO2",-0.019105911080679
"OP-NEMS",2024,"IRA","CO2",-0.0921855709663646
"OP-NEMS",2025,"IRA","CO2",-0.140185347574366
"OP-NEMS",2026,"IRA","CO2",-0.292444638956319
"OP-NEMS",2027,"IRA","CO2",-0.506612642213781
"OP-NEMS",2028,"IRA","CO2",-0.75558148350742
"OP-NEMS",2029,"IRA","CO2",-1.04936011625529
"OP-NEMS",2030,"IRA","CO2",-1.37551759831129
"OP-NEMS",2031,"IRA","CO2",-1.70992304198112
"OP-NEMS",2032,"IRA","CO2",-2.0729293525419
"OP-NEMS",2033,"IRA","CO2",-2.28208737911591
"OP-NEMS",2034,"IRA","CO2",-2.48901141608696
"OP-NEMS",2035,"IRA","CO2",-2.59310893161487
"REGEN-EPRI",2025,"IRA","CO2",-0.0699987358979968
"REGEN-EPRI",2030,"IRA","CO2",-0.429992226677999
"REGEN-EPRI",2035,"IRA","CO2",-0.799985547704001
"RIO-REPEAT",2025,"IRA","CO2",-0.0199996415360033
"RIO-REPEAT",2030,"IRA","CO2",-0.119997830259997
"RIO-REPEAT",2035,"IRA","CO2",-0.219996028461999
"AEO.2023",2022,"IRA","CO2",-0.00414098072779012
"AEO.2023",2023,"IRA","CO2",-0.453380889955525
"AEO.2023",2024,"IRA","CO2",-0.310501554919036
"AEO.2023",2025,"IRA","CO2",-0.278871702125059
"AEO.2023",2026,"IRA","CO2",-0.314136538001755
"AEO.2023",2027,"IRA","CO2",-0.360831320683218
"AEO.2023",2028,"IRA","CO2",-0.275303718730527
"AEO.2023",2029,"IRA","CO2",-0.318469517835965
"AEO.2023",2030,"IRA","CO2",-0.324094491657206
"AEO.2023",2031,"IRA","CO2",-0.324330490558872
"AEO.2023",2032,"IRA","CO2",-0.307400569351095
"AEO.2023",2033,"IRA","CO2",-0.319598512581599
"AEO.2023",2034,"IRA","CO2",-0.36092032026901
"AEO.2023",2035,"IRA","CO2",-0.409233095420305
"USREP-ReEDS",2021,"Historic","CO2",0
"EPS-EI",2021,"Historic","CO2",0
"GCAM-CGS",2021,"Historic","CO2",0
"GCAM-PNNL",2021,"Historic","CO2",0
"MARKAL-NETL",2021,"Historic","CO2",0
"NEMS-RHG",2021,"Historic","CO2",0
"OP-NEMS",2021,"Historic","CO2",0
"REGEN-EPRI",2021,"Historic","CO2",0
"RIO-REPEAT",2021,"Historic","CO2",0
"AEO.2023",2021,"Historic","CO2",0
